time_s,reference_signal_v
4.1600,-0.4975525
4.1700,-0.4996384
4.1800,-0.5011899
4.1900,-0.5021965
4.2000,-0.5026481
4.2100,-0.5058561
4.2200,-0.5089657
4.2300,-0.5119546
4.2400,-0.5148016
4.2500,-0.5174870
4.2600,-0.5199928
4.2700,-0.5223024
4.2800,-0.5244013
4.2900,-0.5262766
4.3000,-0.5279177
4.3100,-0.5293156
4.3200,-0.5304636
4.3300,-0.5313569
4.3400,-0.5319928
4.3500,-0.5323707
4.3600,-0.5324919
4.3700,-0.5323596
4.3800,-0.5319791
4.3900,-0.5313575
4.4000,-0.5305036
4.4100,-0.5294277
4.4200,-0.5281419
4.4300,-0.5266597
4.4400,-0.5249956
4.4500,-0.5231657
4.4600,-0.5211867
4.4700,-0.5190766
4.4800,-0.5168537
4.4900,-0.5145371
4.5000,-0.5121463
4.5100,-0.5097011
4.5200,-0.5072213
4.5300,-0.5047265
4.5400,-0.5022364
4.5500,-0.4997702
4.5600,-0.4973465
4.5700,-0.4949834
4.5800,-0.4926982
4.5900,-0.4905072
4.6000,-0.4884259
4.6100,-0.4864686
4.6200,-0.4846483
4.6300,-0.4829769
4.6400,-0.4814648
4.6500,-0.4801211
4.6600,-0.4789535
4.6700,-0.4779680
4.6800,-0.4771693
4.6900,-0.4765604
4.7000,-0.4761429
4.7100,-0.4759170
4.7200,-0.4758811
4.7300,-0.4760324
4.7400,-0.4763667
4.7500,-0.4768783
4.7600,-0.4775603
4.7700,-0.4784047
4.7800,-0.4794023
4.7900,-0.4805427
4.8000,-0.4818149
4.8100,-0.4832067
4.8200,-0.4847054
4.8300,-0.4862977
4.8400,-0.4879698
4.8500,-0.4897072
4.8600,-0.4914956
4.8700,-0.4933203
4.8800,-0.4951664
4.8900,-0.4970195
4.9000,-0.4988649
4.9100,-0.5006887
4.9200,-0.5024770
4.9300,-0.5042165
4.9400,-0.5058947
4.9500,-0.5074996
4.9600,-0.5090198
4.9700,-0.5104452
4.9800,-0.5117662
4.9900,-0.5129743
5.0000,-0.5140620
5.0100,-0.5150230
5.0200,-0.5158519
5.0300,-0.5165444
5.0400,-0.5170974
5.0500,-0.5175090
5.0600,-0.5177783
5.0700,-0.5179056
5.0800,-0.5178923
5.0900,-0.5177407
5.1000,-0.5174544
5.1100,-0.5170378
5.1200,-0.5164962
5.1300,-0.5158359
5.1400,-0.5150640
5.1500,-0.5141884
5.1600,-0.5132174
5.1700,-0.5121601
5.1800,-0.5110263
5.1900,-0.5098259
5.2000,-0.5085693
5.2100,-0.5072672
5.2200,-0.5059304
5.2300,-0.5045697
5.2400,-0.5031962
5.2500,-0.5018207
5.2600,-0.5004538
5.2700,-0.4991060
5.2800,-0.4977874
5.2900,-0.4965078
5.3000,-0.4952762
5.3100,-0.4941016
5.3200,-0.4929921
5.3300,-0.4919551
5.3400,-0.4909975
5.3500,-0.4901254
5.3600,-0.4893441
5.3700,-0.4886581
5.3800,-0.4880713
5.3900,-0.4875864
5.4000,-0.4872057
5.4100,-0.4869302
5.4200,-0.4867604
5.4300,-0.4866958
5.4400,-0.4867352
5.4500,-0.4868767
5.4600,-0.4871173
5.4700,-0.4874536
5.4800,-0.4878815
5.4900,-0.4883960
5.5000,-0.4889919
5.5100,-0.4896630
5.5200,-0.4904031
5.5300,-0.4912051
5.5400,-0.4920620
5.5500,-0.4929661
5.5600,-0.4939097
5.5700,-0.4948849
5.5800,-0.4958834
5.5900,-0.4968974
5.6000,-0.4979186
5.6100,-0.4989390
5.6200,-0.4999507
5.6300,-0.5009461
5.6400,-0.5019178
5.6500,-0.5028585
5.6600,-0.5037616
5.6700,-0.5046206
5.6800,-0.5054297
5.6900,-0.5061834
5.7000,-0.5068768
5.7100,-0.5075056
5.7200,-0.5080658
5.7300,-0.5085544
5.7400,-0.5089688
5.7500,-0.5093068
5.7600,-0.5095673
5.7700,-0.5097495
5.7800,-0.5098532
5.7900,-0.5098789
5.8000,-0.5098278
5.8100,-0.5097015
5.8200,-0.5095023
5.8300,-0.5092327
5.8400,-0.5088962
5.8500,-0.5084965
5.8600,-0.5080376
5.8700,-0.5075241
5.8800,-0.5069608
5.8900,-0.5063530
5.9000,-0.5057061
5.9100,-0.5050258
5.9200,-0.5043178
5.9300,-0.5035881
5.9400,-0.5028427
5.9500,-0.5020876
5.9600,-0.5013288
5.9700,-0.5005723
5.9800,-0.4998239
5.9900,-0.4990892
6.0000,-0.4983737
6.0100,-0.4976826
6.0200,-0.4970209
6.0300,-0.4963932
6.0400,-0.4958037
6.0500,-0.4952565
6.0600,-0.4947550
6.0700,-0.4943023
6.0800,-0.4939013
6.0900,-0.4935540
6.1000,-0.4932624
6.1100,-0.4930277
6.1200,-0.4928509
6.1300,-0.4927322
6.1400,-0.4926718
6.1500,-0.4926691
6.1600,-0.4927232
6.1700,-0.4928326
6.1800,-0.4929957
6.1900,-0.4932103
6.2000,-0.4934739
6.2100,-0.4936247
6.2200,-0.4935039
6.2300,-0.4931129
6.2400,-0.4924530
6.2500,-0.4915251
6.2600,-0.4903302
6.2700,-0.4888689
6.2800,-0.4871417
6.2900,-0.4851492
6.3000,-0.4828917
6.3100,-0.4803698
6.3200,-0.4775839
6.3300,-0.4745346
6.3400,-0.4712224
6.3500,-0.4676481
6.3600,-0.4638127
6.3700,-0.4597172
6.3800,-0.4553630
6.3900,-0.4507515
6.4000,-0.4458846
6.4100,-0.4407644
6.4200,-0.4353932
6.4300,-0.4297737
6.4400,-0.4239090
6.4500,-0.4178023
6.4600,-0.4114574
6.4700,-0.4048782
6.4800,-0.3980692
6.4900,-0.3910351
6.5000,-0.3837808
6.5100,-0.3763118
6.5200,-0.3686337
6.5300,-0.3607527
6.5400,-0.3526749
6.5500,-0.3444070
6.5600,-0.3359558
6.5700,-0.3273284
6.5800,-0.3185322
6.5900,-0.3095747
6.6000,-0.3004636
6.6100,-0.2912066
6.6200,-0.2818120
6.6300,-0.2722876
6.6400,-0.2626417
6.6500,-0.2528825
6.6600,-0.2430182
6.6700,-0.2330570
6.6800,-0.2230073
6.6900,-0.2128770
6.7000,-0.2026744
6.7100,-0.1924073
6.7200,-0.1820836
6.7300,-0.1717111
6.7400,-0.1612973
6.7500,-0.1508495
6.7600,-0.1403749
6.7700,-0.1298805
6.7800,-0.1193730
6.7900,-0.1088589
6.8000,-0.0983445
6.8100,-0.0878358
6.8200,-0.0773386
6.8300,-0.0668583
6.8400,-0.0564002
6.8500,-0.0459694
6.8600,-0.0355705
6.8700,-0.0252081
6.8800,-0.0148864
6.8900,-0.0046095
6.9000,0.0056188
6.9100,0.0157949
6.9200,0.0259154
6.9300,0.0359770
6.9400,0.0459766
6.9500,0.0559113
6.9600,0.0657783
6.9700,0.0755749
6.9800,0.0852985
6.9900,0.0949465
7.0000,0.1045165
7.0100,0.1140059
7.0200,0.1234124
7.0300,0.1327334
7.0400,0.1419666
7.0500,0.1511093
7.0600,0.1601590
7.0700,0.1691130
7.0800,0.1779686
7.0900,0.1867228
7.1000,0.1953727
7.1100,0.2039151
7.1200,0.2123468
7.1300,0.2206644
7.1400,0.2288641
7.1500,0.2369422
7.1600,0.2448947
7.1700,0.2527176
7.1800,0.2604064
7.1900,0.2679566
7.2000,0.2753635
7.2100,0.2826222
7.2200,0.2897277
7.2300,0.2966745
7.2400,0.3034573
7.2500,0.3100705
7.2600,0.3165083
7.2700,0.3227647
7.2800,0.3288337
7.2900,0.3347092
7.3000,0.3403848
7.3100,0.3458540
7.3200,0.3511104
7.3300,0.3561475
7.3400,0.3609585
7.3500,0.3655368
7.3600,0.3698756
7.3700,0.3739683
7.3800,0.3778080
7.3900,0.3813880
7.4000,0.3847016
7.4100,0.3877422
7.4200,0.3905030
7.4300,0.3929776
7.4400,0.3951595
7.4500,0.3970421
7.4600,0.3986193
7.4700,0.3998848
7.4800,0.4008326
7.4900,0.4014565
7.5000,0.4017509
7.5100,0.4040486
7.5200,0.4062770
7.5300,0.4084200
7.5400,0.4104625
7.5500,0.4123902
7.5600,0.4141902
7.5700,0.4158506
7.5800,0.4173610
7.5900,0.4187120
7.6000,0.4198960
7.6100,0.4209064
7.6200,0.4217384
7.6300,0.4223884
7.6400,0.4228544
7.6500,0.4231359
7.6600,0.4232338
7.6700,0.4231502
7.6800,0.4228889
7.6900,0.4224549
7.7000,0.4218542
7.7100,0.4210944
7.7200,0.4201839
7.7300,0.4191323
7.7400,0.4179501
7.7500,0.4166485
7.7600,0.4152396
7.7700,0.4137360
7.7800,0.4121511
7.7900,0.4104983
7.8000,0.4087916
7.8100,0.4070451
7.8200,0.4052729
7.8300,0.4034892
7.8400,0.4017081
7.8500,0.3999431
7.8600,0.3982078
7.8700,0.3965150
7.8800,0.3948771
7.8900,0.3933060
7.9000,0.3918126
7.9100,0.3904073
7.9200,0.3890994
7.9300,0.3878974
7.9400,0.3868090
7.9500,0.3858406
7.9600,0.3849978
7.9700,0.3842851
7.9800,0.3837056
7.9900,0.3832619
8.0000,0.3829550
8.0100,0.3827850
8.0200,0.3827510
8.0300,0.3828511
8.0400,0.3830822
8.0500,0.3834404
8.0600,0.3839208
8.0700,0.3845177
8.0800,0.3852245
8.0900,0.3860339
8.1000,0.3869381
8.1100,0.3879283
8.1200,0.3889956
8.1300,0.3901304
8.1400,0.3913228
8.1500,0.3925626
8.1600,0.3938395
8.1700,0.3951430
8.1800,0.3964624
8.1900,0.3977875
8.2000,0.3991078
8.2100,0.4004131
8.2200,0.4016937
8.2300,0.4029400
8.2400,0.4041429
8.2500,0.4052940
8.2600,0.4063850
8.2700,0.4074086
8.2800,0.4083579
8.2900,0.4092269
8.3000,0.4100102
8.3100,0.4107030
8.3200,0.4113016
8.3300,0.4118028
8.3400,0.4122044
8.3500,0.4125050
8.3600,0.4127038
8.3700,0.4128011
8.3800,0.4127976
8.3900,0.4126953
8.4000,0.4124964
8.4100,0.4122040
8.4200,0.4118221
8.4300,0.4113551
8.4400,0.4108078
8.4500,0.4101861
8.4600,0.4094957
8.4700,0.4087433
8.4800,0.4079357
8.4900,0.4070801
8.5000,0.4061838
8.5100,0.4052544
8.5200,0.4042998
8.5300,0.4033277
8.5400,0.4023459
8.5500,0.4013622
8.5600,0.4003842
8.5700,0.3994193
8.5800,0.3984750
8.5900,0.3975580
8.6000,0.3966751
8.6100,0.3958325
8.6200,0.3950361
8.6300,0.3942912
8.6400,0.3936029
8.6500,0.3929754
8.6600,0.3924126
8.6700,0.3919179
8.6800,0.3914938
8.6900,0.3911426
8.7000,0.3908657
8.7100,0.3906641
8.7200,0.3905380
8.7300,0.3904873
8.7400,0.3905110
8.7500,0.3906077
8.7600,0.3907755
8.7700,0.3910118
8.7800,0.3913139
8.7900,0.3916781
8.8000,0.3921007
8.8100,0.3925775
8.8200,0.3931038
8.8300,0.3936747
8.8400,0.3942852
8.8500,0.3949298
8.8600,0.3956030
8.8700,0.3962990
8.8800,0.3970122
8.8900,0.3977367
8.9000,0.3984668
8.9100,0.3991967
8.9200,0.3999207
8.9300,0.4006333
8.9400,0.4013293
8.9500,0.4020035
8.9600,0.4026510
8.9700,0.4032674
8.9800,0.4038482
8.9900,0.4043897
9.0000,0.4048883
9.0100,0.4053408
9.0200,0.4057445
9.0300,0.4060971
9.0400,0.4063966
9.0500,0.4066418
9.0600,0.4068315
9.0700,0.4069652
9.0800,0.4070428
9.0900,0.4070646
9.1000,0.4070314
9.1100,0.4069443
9.1200,0.4068050
9.1300,0.4066153
9.1400,0.4063775
9.1500,0.4060943
9.1600,0.4057687
9.1700,0.4054038
9.1800,0.4050031
9.1900,0.4045703
9.2000,0.4041094
9.2100,0.4036242
9.2200,0.4031190
9.2300,0.4025981
9.2400,0.4020656
9.2500,0.4015260
9.2600,0.4009835
9.2700,0.4004423
9.2800,0.3999067
9.2900,0.3993806
9.3000,0.3988680
9.3100,0.3983727
9.3200,0.3978981
9.3300,0.3974476
9.3400,0.3970244
9.3500,0.3966311
9.3600,0.3962705
9.3700,0.3959446
9.3800,0.3956555
9.3900,0.3954048
9.4000,0.3951938
9.4100,0.3950235
9.4200,0.3948944
9.4300,0.3948071
9.4400,0.3947613
9.4500,0.3947569
9.4600,0.3947931
9.4700,0.3948689
9.4800,0.3949833
9.4900,0.3951345
9.5000,0.3953209
9.5100,0.3955404
9.5200,0.3957908
9.5300,0.3960696
9.5400,0.3963743
9.5500,0.3967019
9.5600,0.3970497
9.5700,0.3974145
9.5800,0.3977933
9.5900,0.3981829
9.6000,0.3985802
9.6100,0.3989818
9.6200,0.3993847
9.6300,0.3997857
9.6400,0.4001818
9.6500,0.4005699
9.6600,0.4009471
9.6700,0.4013108
9.6800,0.4016583
9.6900,0.4019873
9.7000,0.4022954
9.7100,0.4025807
9.7200,0.4028413
9.7300,0.4030757
9.7400,0.4032823
9.7500,0.4034601
9.7600,0.4036083
9.7700,0.4037260
9.7800,0.4038130
9.7900,0.4038690
9.8000,0.4038942
9.8100,0.4038888
9.8200,0.4038535
9.8300,0.4037889
9.8400,0.4036960
9.8500,0.4035761
9.8600,0.4034305
9.8700,0.4032607
9.8800,0.4030686
9.8900,0.4028559
9.9000,0.4026245
9.9100,0.4023767
9.9200,0.4021146
9.9300,0.4018405
9.9400,0.4015567
9.9500,0.4012655
9.9600,0.4009693
9.9700,0.4006706
9.9800,0.4003716
9.9900,0.4000746
